Manufacturer,Model,Type,Selling Price,Miles per gallon,Airbags standard,Drive train type,No of cylinders,Engine size,Horse power,RPM,Engine revolutions per mile,Manual transmission available,Fuel tank capacity,Domestic
2,90,1,29.1,20,1,1,6,2.8,172,5500,2280,1,16.9,0
6,Cavalier,1,13.4,25,0,1,4,2.2,110,5200,2380,1,15.2,1
6,Corsica,1,11.4,25,1,1,4,2.2,110,5200,2665,1,15.6,1
7,LeBaron,1,15.8,23,2,1,4,3,141,5000,2090,0,16,1
8,Spirit,1,13.3,22,1,1,4,2.5,100,4800,2535,1,16,1
10,Tempo,1,11.3,22,0,1,4,2.3,96,4200,2805,1,15.9,1
12,Accord,1,17.5,24,2,1,4,2.2,140,5600,2610,1,17,0
17,626,1,16.5,26,1,1,4,2.5,164,5600,2505,1,15.5,0
18,190E,1,31.9,20,1,0,4,2.3,130,5100,2425,1,14.5,0
21,Altima,1,15.7,24,1,1,4,2.4,150,5600,2130,1,15.9,0
22,Achieva,1,13.5,24,0,1,4,2.3,155,6000,2380,0,15.2,1
24,Sunbird,1,11.1,23,0,1,4,2,110,5200,2665,1,15.2,1
25,900,1,28.7,20,1,1,4,2.1,140,6000,2910,1,18,0
27,Legacy,1,19.5,23,1,2,4,2.2,130,5600,2330,1,15.9,0
30,Passat,1,20,21,0,1,4,2,134,5800,2685,1,18.5,0
31,240,1,22.7,21,1,0,4,2.3,114,5400,2215,1,15.8,0
4,LeSabre,2,20.8,19,1,1,6,3.8,170,4800,1570,0,18,1
4,Roadmaster,2,23.7,16,1,0,6,5.7,180,4000,1320,0,23,1
5,DeVille,2,34.7,16,1,1,8,4.9,200,4100,1510,0,18,1
6,Caprice,2,18.8,17,1,0,8,5,170,4200,1350,0,23,1
7,Concorde,2,18.4,20,2,1,6,3.3,153,5300,1990,0,18,1
7,Imperial,2,29.5,20,1,1,6,3.3,147,4800,1785,0,16,1
9,Vision,2,19.3,20,2,1,6,3.5,214,5800,1980,0,18,1
10,Crown_Victoria,2,20.9,18,1,0,8,4.6,190,4200,1415,0,20,1
16,Town_Car,2,36.1,18,2,0,8,4.6,210,4600,1840,0,20,1
22,Eighty-Eight,2,20.7,19,1,1,6,3.8,170,4800,1570,0,18,1
24,Bonneville,2,24.4,19,2,1,6,3.8,170,4800,1565,0,18,1
1,Legend,3,33.9,18,2,1,6,3.2,200,5500,2335,1,18,0
2,100,3,37.7,19,2,1,6,2.8,172,5500,2535,1,21.1,0
3,535i,3,30,22,1,0,4,3.5,208,5700,2545,1,21.1,0
4,Century,3,15.7,22,1,1,4,2.2,110,5200,2565,0,16.4,1
4,Riviera,3,26.3,19,1,1,6,3.8,170,4800,1690,0,18.8,1
6,Lumina,3,15.9,21,0,1,4,2.2,110,5200,2595,0,16.5,1
8,Dynasty,3,15.6,21,1,1,4,2.5,100,4800,2465,0,16,1
10,Taurus,3,20.2,21,1,1,6,3,140,4800,1885,0,16,1
13,Sonata,3,13.9,20,0,1,4,2,128,6000,2335,1,17.2,0
15,ES300,3,28,18,1,1,6,3,185,5200,2325,1,18.5,0
15,SC300,3,35.2,18,2,0,6,3,225,6000,2510,1,20.6,0
16,Continental,3,34.3,17,2,1,6,3.8,160,4400,1835,0,18.4,1
19,Cougar,3,14.9,19,0,0,6,3.8,140,3800,1730,0,18,1
20,Diamante,3,26.1,18,1,1,6,3,202,6000,2210,0,19,0
21,Maxima,3,21.5,21,1,1,6,3,160,5200,2045,0,18.5,0
22,Cutlass_Ciera,3,16.3,23,1,1,4,2.2,110,5200,2565,0,16.5,1
24,Grand_Prix,3,18.5,19,0,1,6,3.4,200,5000,1890,1,16.5,1
29,Camry,3,18.2,22,1,1,4,2.2,130,5400,2340,1,18.5,0
31,850,3,26.7,20,2,1,5,2.4,168,6200,2310,1,19.3,0
8,Colt,4,9.2,29,0,1,4,1.5,92,6000,3285,1,13.2,1
8,Shadow,4,11.3,23,1,1,4,2.2,93,4800,2595,1,14,1
